"","genus","family","order","group","binomial","id"
"142","Wollemia","Araucariaceae","Pinales","Gymnosperms","Wollemia nobilis","vand"
"143","Asimina","Annonaceae","Magnoliales","Angiosperms","Asimina triloba","vand"
"144","Astelia","Asteliaceae","Asparagales","Angiosperms","Astelia banksii","vand"
"145","Billardiera","Pittosporaceae","Apiales","Angiosperms","Billardiera heterophylla","vand"
"146","Butomus","Butomaceae","Alismatales","Angiosperms","Butomus umbellatus","vand"
"147","Canna","Cannaceae","Zingiberales","Angiosperms","Canna indica","vand"
"148","Carica","Caricaceae","Brassicales","Angiosperms","Carica papaya","vand"
"149","Celtis","Cannabaceae","Rosales","Angiosperms","Celtis sinensis","vand"
"150","Chloranthus","Chloranthaceae","Chloranthales","Angiosperms","Chloranthus serratus","vand"
"151","Corokia","Argophyllaceae","Asterales","Angiosperms","Corokia cotoneaster","vand"
"152","Cyathea","Cyatheaceae","Cyatheales","Pteridophytes","Cyathea australis","vand"
"153","Cycas","Cycadaceae","Cycadales","Gymnosperms","Cycas revoluta","vand"
"154","Datisca","Datiscaceae","Cucurbitales","Angiosperms","Datisca cannabina","vand"
"155","Dennstaedtia","Dennstaedtiaceae","Polypodiales","Pteridophytes","Dennstaedtia punctilobula","vand"
"156","Dicksonia","Dicksoniaceae","Cyatheales","Pteridophytes","Dicksonia antarctica","vand"
"157","Dionaea","Droseraceae","Caryophyllales","Angiosperms","Dionaea muscipula","vand"
"158","Eichhornia","Pontederiaceae","Commelinales","Angiosperms","Eichhornia azurea","vand"
"159","Ensete","Musaceae","Zingiberales","Angiosperms","Ensete ventricosum","vand"
"160","Eucommia","Eucommiaceae","Garryales","Angiosperms","Eucommia ulmoides","vand"
"161","Eucryphia","Cunoniaceae","Oxalidales","Angiosperms","Eucryphia lucida","vand"
"162","Euptelea","Eupteleaceae","Ranunculales","Angiosperms","Euptelea polyandra","vand"
"163","Morus","Moraceae","Rosales","Angiosperms","Morus australis","vand"
"164","Turbina","Convolvulaceae","Solanales","Angiosperms","Turbina corymbosa","vand"
"165","Lapageria","Philesiaceae","Liliales","Angiosperms","Lapageria rosea","vand"
"166","Limnanthes","Limnanthaceae","Brassicales","Angiosperms","Limnanthes douglasii","vand"
"167","Melianthus","Greyiaceae","Geraniales","Angiosperms","Melianthus major","vand"
"168","Mimulus","Phrymaceae","Lamiales","Angiosperms","Mimulus moschatus","vand"
"169","Paulownia","Paulowniaceae","Lamiales","Angiosperms","Paulownia tomentosa","vand"
"170","Phytolacca","Phytolaccaceae","Caryophyllales","Angiosperms","Phytolacca americana","vand"
"171","Platanus","Platanaceae","Proteales","Angiosperms","Platanus orientalis","vand"
"172","Polemonium","Polemoniaceae","Ericales","Angiosperms","Polemonium pulcherrimum","vand"
"173","Polygala","Polygalaceae","Fabales","Angiosperms","Polygala chamaebuxus","vand"
"174","Rhodocoma","Restionaceae","Poales","Angiosperms","Rhodocoma capensis","vand"
"175","Sarracenia","Sarraceniaceae","Ericales","Angiosperms","Sarracenia minor","vand"
"176","Strelitzia","Strelitziaceae","Zingiberales","Angiosperms","Strelitzia nicolai","vand"
"177","Thalia","Marantaceae","Zingiberales","Angiosperms","Thalia dealbata","vand"
"178","Tibouchina","Melastomataceae","Myrtales","Angiosperms","Tibouchina urvilleana","vand"
"179","Tropaeolum","Tropaeolaceae","Brassicales","Angiosperms","Tropaeolum tricolor","vand"
"180","Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron trichocladum","vand"
"181","Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron ovatum","vand"
"182","Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron degronianum","ubc"
"183","Arbutus","Ericaceae","Ericales","Angiosperms","Arbutus unedo","vand"
"184","Vaccinium","Ericaceae","Ericales","Angiosperms","Vaccinium deliciosum","ubc"
"185","Erica","Ericaceae","Ericales","Angiosperms","Erica cinerea","vand"
"186","Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron campylocarpum","vand"
"187","Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron barbatum","ubc"
"188","Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron hyperythrum","ubc"
"189","Abies","Pinaceae","Pinales","Gymnosperms","Abies pinsapo","ubc"
"190","Picea","Pinaceae","Pinales","Gymnosperms","Picea alcoquiana","ubc"
"191","Pinus","Pinaceae","Pinales","Gymnosperms","Pinus cembra","ubc"
"192","Picea","Pinaceae","Pinales","Gymnosperms","Picea abies","vand"
"193","Abies","Pinaceae","Pinales","Gymnosperms","Abies kawakamii","vand"
"194","Tsuga","Pinaceae","Pinales","Gymnosperms","Tsuga sieboldii","ubc"
"195","Pinus","Pinaceae","Pinales","Gymnosperms","Pinus sylvestris","ubc"
"196","Pinus","Pinaceae","Pinales","Gymnosperms","Pinus palustris","vand"
"197","Abies","Pinaceae","Pinales","Gymnosperms","Abies koreana","vand"
"198","Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris goldiana","vand"
"199","Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris expansa","ubc"
"200","Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris wallichiana","ubc"
"201","Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris dilatata","vand"
"202","Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris cristata","ubc"
"203","Arachniodes","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Arachniodes simplicior","vand"
"204","Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris bissetiana","ubc"
"205","Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris erythrosora","ubc"
"206","Polystichum","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Polystichum acrostichoides","vand"
