TaxonName,Locality,MaterialType,AltitudeFrom,AltitudeTo,CoordLatDD,CoordLongDD,CountryName,ItemAccNoFull,ItemLocationCode,AccNoCons,CollNo,DetType,ProvenanceCode,AtrA_Variant,Collector,ItemSpecCount
Meliosma dilleniifolia,,plant,,,,,,1979-0110.01,3AB5,17714/0-0013-1979,,,G,,,1
Rubus parkeri,,plant,,,,,,1979-0112.01,3AF4,17720/0-0013-1979,,,G,,,1
Sorbaria tomentosa,,plant,,,,,,1979-0113.01,3AC5,17725/0-0013-1979,,,G,,,1
Staphylea bumalda,,plant,,,,,,1979-0115.02,3AAH,17731/0-0013-1979,,,G,,,1
Staphylea bumalda,,plant,,,,,,1979-0115.03,3AAH,17731/0-0013-1979,,,G,,,1
Styrax calvescens,,plant,,,,,,1979-0116.01,3AC6,17732/0-0013-1979,,,G,,,1
Viburnum glomeratum,,plant,,,,,,1979-0117.02,HUBC,17736/0-0013-1979,,,U,,,1
Dryas × suendermannii,,plant,,,,,,1979-0136.02,LEU,17770/0-0117-1979,,,G,,,1
Paeonia obovata,,plant,,,,,,1979-0162.01,LAS4,17797/0-0117-1979,,,G,white-flowered selection,,1
Paeonia obovata,,plant,,,,,,1979-0162.02,LAS4,17797/0-0117-1979,,,G,white-flowered selection,,2
Trillium chloropetalum,"Douglas Co.,OR",plant,,,,,United States of America,1978-0842.02,HUBC,17871/0-0221-1978,CW.001,,W,,,1
Acer buergerianum subsp. buergerianum,,plant,,,,,,1978-0845.01,1X01,17950/0-0126-1978,,,G,,,1
Acer buergerianum subsp. buergerianum,,plant,,,,,,1978-0845.02,HUBC,17950/0-0126-1978,,,G,,,1
Paulownia tomentosa 'Coreana',,plant,,,,,,1978-0848.02,HUBC,17959/0-0126-1978,,,U,,,1
Quercus phillyreoides,,plant,,,,,,1978-0849.01,3AA4,17961/0-0126-1978,,,G,,,1
Quercus phillyreoides,,plant,,,,,,1978-0849.02,HUBC,17961/0-0126-1978,,,G,,,1
Acer rufinerve 'Albolimbatum',,plant,,,,,,1979-0242.01,3AF1,17987/0-0055-1979,,,G,,,1
Acer rufinerve 'Albolimbatum',,plant,,,,,,1979-0242.02,HUBC,17987/0-0055-1979,,,G,,,1
Acer micranthum,,plant,,,,,,1979-0243.01,3AA8,17988/0-0317-1979,,,G,,,1
Acer micranthum,,plant,,,,,,1979-0243.02,HUBC,17988/0-0317-1979,,,G,,,1
Magnolia campbellii,,plant,,,,,,1979-0244.01,3AE7,17989/0-0317-1979,,,G,,,1
Magnolia campbellii,,plant,,,,,,1979-0244.02,HUBC,17989/0-0317-1979,,,G,,,1
Magnolia campbellii,,plant,,,,,,1979-0244.03,HUBC,17989/0-0317-1979,,,G,,,1
Magnolia campbellii,,plant,,,,,,1979-0244.04,HUBC,17989/0-0317-1979,,,G,,,1
Magnolia dawsoniana 'Clarke',,plant,,,,,,1979-0245.01,3AEB,17990/0-0317-1979,,,G,,,1
Magnolia dawsoniana 'Clarke',,plant,,,,,,1979-0245.02,HUBC,17990/0-0317-1979,,,G,,,1
Magnolia dawsoniana 'Clarke',,plant,,,,,,1979-0245.03,HUBC,17990/0-0317-1979,,,G,,,1
Magnolia dawsoniana 'Clarke',,plant,,,,,,1979-0245.04,HUBC,17990/0-0317-1979,,,G,,,1
Magnolia wilsonii,China,plant,,,,,China,1979-0247.01,3AFA,17993/0-0055-1979,,,W,,,1
Inula magnifica,,seed,,,,,,1978-0866.02,HUBC,18006/0-0355-1978,,,G,,,1
Cryptomeria japonica 'Elegans Aurea',,unrooted cutting,,,,,,1978-0867.02,1P02,18007/0-0358-1978,,,G,,,1
Picea sitchensis 'Bentham's Sunlight',Haida Gwaii,unrooted cutting,,,,,Canada,1978-0871.01,1B34,18012/0-0358-1978,,,W,,,1
Podocarpus acutifolius,,unrooted cutting,,,,,,1978-0872.01,LAA4,18013/0-0358-1978,,,G,,,1
Podocarpus acutifolius,,unrooted cutting,,,,,,1978-0872.02,HUBC,18013/0-0358-1978,,,G,,,1
Yucca glauca,"Choteau,MT",seed,,,,,United States of America,1979-0260.01,LNA6,18057/0-0241-1979,BL.237,,W,,"Leamy, Bodil",1
Chrysanthemum yezoense,Japan (?wild),seed,,,,,Japan,1978-0881.02,LAS5,18079/0-0372-1978,,,W,,,1
Chrysanthemum yezoense,Japan (?wild),seed,,,,,Japan,1978-0881.03,LAS5,18079/0-0372-1978,,,W,,,1
Chrysanthemum yezoense,Japan (?wild),seed,,,,,Japan,1978-0881.04,HUBC,18079/0-0372-1978,,,W,,,1
Scutellaria baicalensis,Tajikistan,seed,,,,,Tajikistan,1979-0275.01,LAS1,18093/0-0379-1979,,,W,,,1
Scutellaria baicalensis,Tajikistan,seed,,,,,Tajikistan,1979-0275.04,HUBC,18093/0-0379-1979,,,W,,,1
Rhododendron pseudochrysanthum,,unrooted cutting,,,,,,1977-0740.01,3AA5,18121/0-0354-1977,,,G,,,1
Rhododendron degronianum subsp. yakushimanum,,unrooted cutting,,,,,,1977-0741.02,3AH6,18124/0-0354-1977,,,G,,,1
Rhododendron fortunei subsp. discolor Houlstonii Group,,unrooted cutting,,,,,,1977-0743.01,3AC2,18126/0-0050-1977,,,G,,,1
Rhododendron pingianum,,unrooted cutting,,,,,,1977-0744.01,3AA4,18128/0-0050-1977,,,G,,,1
Rhododendron obtusum,,unrooted cutting,,,,,,1977-0746.02,HUBC,18132/0-0354-1977,,,U,white flowered selection,,1
Ilex fargesii,"ex wild,w.China",unrooted cutting,,,,,China,1979-0311.01,3AD1,18165/0-0010-1979,Wils.148,aff.,W,,"Wilson, Ernest H.",2
Ilex fargesii,"ex wild,w.China",unrooted cutting,,,,,China,1979-0311.02,HUBC,18165/0-0010-1979,Wils.148,aff.,W,,"Wilson, Ernest H.",1
Ilex fargesii,"ex wild,w.China",unrooted cutting,,,,,China,1979-0311.03,HUBC,18165/0-0010-1979,Wils.148,aff.,W,,"Wilson, Ernest H.",1
Rubus bambusarum,,unrooted cutting,,,,,,1979-0312.01,3AH1,18166/0-0010-1979,,,G,,,1
Rubus bambusarum,,unrooted cutting,,,,,,1979-0312.03,HUBC,18166/0-0010-1979,,,G,,,1
Disanthus cercidifolius subsp. cercidifolius,,seed,,,,,,1978-0891.01,3AC5,18181/0-0068-1978,,,G,,,1
Larix kaempferi,,seed,,,,,,1978-0896.01,3AS3,18198/0-0153-1978,,,G,,,1
Cornus mas,,unknown,,,,,,1978-0897.01,1P03,18199/0-0156-1978,,,G,,,1
Cotoneaster integerrimus,Tayran Dag,seed,,,,,Turkey,1978-0898.01,LAM,18200/0-0156-1978,M.1259,,W,,"MacPhail, Jim",1
Cotoneaster integerrimus,Tayran Dag,seed,,,,,Turkey,1978-0898.02,HUBC,18200/0-0156-1978,M.1259,,W,,"MacPhail, Jim",1
Gentiana macrophylla var. fetissowii,China (?wild),seed,,,,,China,1978-0904.02,HUBC,18206/0-0175-1978,,,W,,,1
Vitis coignetiae,,seed,,,,,,1978-0905.02,1D,18209/0-0218-1978,,,G,,,1
Berberis morrisonensis,Taiwan(?coll.wild),seed,,,,,Taiwan,1978-0908.01,3AB1,18218/0-0330-1978,,,W,,,1
Berberis morrisonensis,Taiwan(?coll.wild),seed,,,,,Taiwan,1978-0908.02,3AC7,18218/0-0330-1978,,,W,,,1
Berberis morrisonensis,Taiwan(?coll.wild),seed,,,,,Taiwan,1978-0908.04,HUBC,18218/0-0330-1978,,,W,,,1
Rubus rolfei 'Formosan Carpet',Ho Huan Shan,seed,,,,,Taiwan,1978-0909.03,3ADA,18223/0-0330-1978,D.Pearson,,W,,"Pearson, D",42
Rubus rolfei 'Formosan Carpet',Ho Huan Shan,seed,,,,,Taiwan,1978-0909.04,3AB1,18223/0-0330-1978,D.Pearson,,W,,"Pearson, D",1
Rubus rolfei 'Formosan Carpet',Ho Huan Shan,seed,,,,,Taiwan,1978-0909.05,3AC7,18223/0-0330-1978,D.Pearson,,W,,"Pearson, D",1
Rubus rolfei 'Formosan Carpet',Ho Huan Shan,seed,,,,,Taiwan,1978-0909.07,3ABC,18223/0-0330-1978,D.Pearson,,W,,"Pearson, D",1
Rubus rolfei 'Formosan Carpet',Ho Huan Shan,seed,,,,,Taiwan,1978-0909.08,1P02,18223/0-0330-1978,D.Pearson,,W,,"Pearson, D",2
Rubus rolfei 'Formosan Carpet',Ho Huan Shan,seed,,,,,Taiwan,1978-0909.88,8,18223/0-0330-1978,D.Pearson,,W,,"Pearson, D",2
Broussonetia papyrifera,,seed,,,,,,1978-0910.02,2A02,18231/0-0349-1978,,,G,,,1
Broussonetia papyrifera,,seed,,,,,,1978-0910.03,HUBC,18231/0-0349-1978,,,G,,,1
Acer triflorum,,seed,,,,,,1977-0755.01,3AFA,18237/0-0351-1977,,,G,,,1
Hosta Fortunei Group,,seed,,,,,,1979-0318.01,3AH8,18243/0-0372-1979,,,G,,,8
Hosta Fortunei Group,,seed,,,,,,1979-0318.02,3AE5,18243/0-0372-1979,,,G,,,4
Hosta Fortunei Group,,seed,,,,,,1979-0318.03,HUBC,18243/0-0372-1979,,,G,,,1
Quercus variabilis,,seed,,,,,,1979-0320.01,3AS5,18247/0-0386-1979,,,G,,,1
Quercus variabilis,,seed,,,,,,1979-0320.02,HUBC,18247/0-0386-1979,,,G,,,1
Clematis montana 'Tetrarose',,plant,,,,,,1979-0323.02,HUBC,18255/0-0156-1979,,,U,,,1
Iris sintenisii,,seed,,,,,,1977-0757.01,LAM,18262/0-0285-1977,,,G,,,6
Dietes iridioides,,seed,,,,,,1977-0772.01,LAF1,18297/0-0311-1977,,,G,,,many
Dietes iridioides,,seed,,,,,,1977-0772.02,LAF1,18297/0-0311-1977,,,G,,,many
Halocarpus bidwillii,,plant,,,,,,1979-0325.01,LAA2,18306/0-0411-1979,,,G,,,1
Halocarpus bidwillii,,plant,,,,,,1979-0325.02,HUBC,18306/0-0411-1979,,,G,,,1
Podocarpus nivalis 'Jack's Pass',,plant,,,,,,1979-0328.01,LAA2,18317/0-0411-1979,,,G,,,1
Podocarpus nivalis 'Jack's Pass',,plant,,,,,,1979-0328.02,HUBC,18317/0-0411-1979,,,G,,,1
Berberis × bristolensis,,plant,,,,,,1979-0340.01,1P03,18345/0-0013-1979,,,G,,,1
Berberis × stenophylla 'Irwinii',,plant,,,,,,1979-0341.02,LSA2,18347/0-0013-1979,,,G,,,1
Berberis × stenophylla 'Semperflorens',,plant,,,,,,1979-0342.01,LSA2,18348/0-0013-1979,,,G,,,1
Pterocarya macroptera,,seed,,,,,,1979-0346.01,3AS3,18366/0-0402-1979,,,G,,,1
Cylindropuntia imbricata,Unknown,plant,,,,,United States of America,1979-0358.01,LNA6,18383/0-0207-1979,,,W,,"Taylor, A.R.",1
Ligustrum lucidum,,seed,,,,,,1979-0378.01,3AAJ,18414/0-0386-1979,,,W,,,1
Dasiphora fruticosa,"Sheep Mt.,WY",plant,,,,,United States of America,1979-0426.01,LTC1,18468/0-0156-1979,MW.79071,,W,compact selection,"MacPhail, Jim",1
Dasiphora fruticosa,"Sheep Mt.,WY",plant,,,,,United States of America,1979-0426.02,HUBC,18468/0-0156-1979,MW.79071,,W,compact selection,"MacPhail, Jim",1
Cornus sericea,"Whaling Station,Horn",plant,,,,,Canada,1979-0453.02,1B31,18498/0-0055-1979,,,W,,D.Walton,
Cornus sericea,"Whaling Station,Horn",plant,,,,,Canada,1979-0453.03,HUBC,18498/0-0055-1979,,,W,,D.Walton,1
Ruscus hypophyllum,,plant,,,,,,1979-0454.02,HUBC,18499/0-0162-1979,,,U,,,1
Paeonia mlokosewitschii,"Caucasus,?e.Russia (?wild)",plant,,,,,Russian Federation,1979-0462.01,LAM,18509/0-0414-1979,,,G,,,3
