"ID","TaxonID","Taxon","Trait","Data","Units","DataType","Method","SourceID","Region","Lat","Long","Alt","Accuracy","Comments"
"C05021",3229,"Viburnum tinus","RespFire","yes","[2]","boolean","experience","Valencia2008","W",39.5,-0.75,,"Low",
"P00183",3229,"Viburnum tinus","RespFire","yes","[2]","boolean","measure","Ubeda2006","W",41.76,2.92,,"Mod",
"C03171",3229,"Viburnum tinus","RespFire","yes","[2]","boolean","measure","Cabezudo1995","W",37.72,-4.94,,"Mod",
"R01411",3229,"Viburnum tinus","RespFire","yes","[2]","boolean","general reference","GciaFayos2001","W",39.4,-1.4,,"VLow",
"C08919",3229,"Viburnum tinus","RespFire","100","%","quantitative","measure","Quevedo2007","W",41.82,1.47,,"Low","f.a. prescribed burning conducted in spring and winter"
"R00003",3229,"Viburnum tinus","RespFire","83","%","quantitative","measure","LopezSoria1992","W",41.58,1.9,420,"High",
"E01265",3229,"Viburnum tinus","SoilSeedBank","transient|unk","[7]","semi-quantitative conditional","experience","Catalonia2008","W",41.82,1.47,,"Low",
"C02198",3229,"Viburnum tinus","SoilSeedBank","transient|unk","[7]","semi-quantitative conditional","compilation","Cerabolini2003","C",,,,,
"C01804",3229,"Viburnum tinus","SoilSeedBank","transient|veg","[7]","semi-quantitative conditional","measure","DiazVilla2003","W",36.4,-5.4,,"Low",
"C06609",3229,"Viburnum tinus","MatResp","early","[3]","semi-quantitative","measure","Trabaud2002","W",43.67,3.83,125,"High",
"C06571",3229,"Viburnum tinus","SeedlEmerg","no","[2]","boolean","measure","Trabaud2002","W",43.67,3.83,125,"High",
"E01281",3229,"Viburnum tinus","SeedlEmerg","no","[2]","boolean","experience","Catalonia2008","W",41.82,1.47,,"Low",
"R03917",3229,"Viburnum tinus","SeedlEmerg","no","[2]","boolean","compilation","Lloret2003","W",41.29,1.87,350,"Mod",
"C03235",3229,"Viburnum tinus","SeedlEmerg","no","[2]","boolean","measure","Cabezudo1995","W",37.72,-4.94,,"Mod",
"A08218",5193,"Viburnum tinus ssp. tinus","GrowthForm","large shrub","[13]","categorical","general reference","Castroviejo1986","U",,,,,"f.c. growth form of the species"
"A06711",5193,"Viburnum tinus ssp. tinus","StemDensity","0.67","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
"A15673",6855,"Mesembryanthemum crystallinum","GrowthForm","annual forb","[13]","categorical","general reference","Tutin1964","U",,,,,
"A15455",6855,"Mesembryanthemum crystallinum","LeafDivision","simple","[2]","categorical","general reference","Wright2017","W",,,,,
"A15577",6855,"Mesembryanthemum crystallinum","LeafArea","16","mm2","quantitative","measure","Wright2017","W",36.89,-2.05,111,"High",
"A14995",6716,"Mesembryanthemum nodiflorum","GrowthForm","annual forb","[13]","categorical","general reference","Castroviejo1986","U",,,,,
"A15454",6716,"Mesembryanthemum nodiflorum","LeafDivision","simple","[2]","categorical","general reference","Wright2017","W",,,,,
"A14153",6716,"Mesembryanthemum nodiflorum","LeafArea","19.98","mm2","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A15576",6716,"Mesembryanthemum nodiflorum","LeafArea","75","mm2","quantitative","measure","Wright2017","W",36.89,-2.05,111,"High",
"A14395",6716,"Mesembryanthemum nodiflorum","SLA","4.775","mm2/mg","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A13931",6716,"Mesembryanthemum nodiflorum","Height","0.04","m","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A14635",6716,"Mesembryanthemum nodiflorum","RootDepth","0.04","m","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A14869",6716,"Mesembryanthemum nodiflorum","DispMode","H","[9]","categorical","general reference","Consensus2017","U",,,,,
"A05820",4845,"Baldellia ranunculoides","GrowthForm","perennial forb","[13]","categorical","general reference","Castroviejo1986","U",,,,,
"A12493",4845,"Baldellia ranunculoides","LeafDivision","simple","[2]","categorical","general reference","Davis1965","U",,,,,
