"","X","genus","family","order","group","binomial","id"
"177",177,"Thalia","Marantaceae","Zingiberales","Angiosperms","Thalia_dealbata","vand"
"178",178,"Tibouchina","Melastomataceae","Myrtales","Angiosperms","Tibouchina_urvilleana","vand"
"179",179,"Tropaeolum","Tropaeolaceae","Brassicales","Angiosperms","Tropaeolum_tricolor","vand"
"180",180,"Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron_trichocladum","vand"
"181",181,"Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron_ovatum","vand"
"184",184,"Vaccinium","Ericaceae","Ericales","Angiosperms","Vaccinium_deliciosum","ubc"
"185",185,"Erica","Ericaceae","Ericales","Angiosperms","Erica_cinerea","vand"
"186",186,"Rhododendron","Ericaceae","Ericales","Angiosperms","Rhododendron_campylocarpum","vand"
"190",190,"Picea","Pinaceae","Pinales","Gymnosperms","Picea_alcoquiana","ubc"
"191",191,"Pinus","Pinaceae","Pinales","Gymnosperms","Pinus_cembra","ubc"
"192",192,"Picea","Pinaceae","Pinales","Gymnosperms","Picea_abies","vand"
"193",193,"Abies","Pinaceae","Pinales","Gymnosperms","Abies_kawakamii","vand"
"195",195,"Pinus","Pinaceae","Pinales","Gymnosperms","Pinus_sylvestris","ubc"
"196",196,"Pinus","Pinaceae","Pinales","Gymnosperms","Pinus_palustris","vand"
"197",197,"Abies","Pinaceae","Pinales","Gymnosperms","Abies_koreana","vand"
"199",199,"Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris_expansa","ubc"
"202",202,"Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris_cristata","ubc"
"204",204,"Dryopteris","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Dryopteris_bissetiana","ubc"
"206",206,"Polystichum","Dryopteridaceae","Polypodiales-Eupolypod I","Pteridophytes","Polystichum_acrostichoides","vand"
